V1,V2,V3
-122.804469273743,49.9831932773109,1399.619140625
-122.787709497207,49.9831932773109,1262.54626464844
-122.77094972067,49.9831932773109,1634.92626953125
-122.754189944134,49.9831932773109,1795.71630859375
-122.737430167598,49.9831932773109,1642.63623046875
-122.720670391061,49.9831932773109,2047.35632324219
-122.703910614525,49.9831932773109,2258.22631835938
-122.687150837989,49.9831932773109,2195.83618164062
-122.670391061453,49.9831932773109,2277.60620117188
-122.653631284916,49.9831932773109,2264.72094726562
-122.63687150838,49.9831932773109,2054.95092773438
-122.620111731844,49.9831932773109,1769.78100585938
-122.603351955307,49.9831932773109,1833.14099121094
-122.586592178771,49.9831932773109,1810.34106445312
-122.569832402235,49.9831932773109,1619.61108398438
-122.553072625698,49.9831932773109,1535.99096679688
-122.536312849162,49.9831932773109,1105.46105957031
-122.519553072626,49.9831932773109,481.773040771484
-122.502793296089,49.9831932773109,556.60302734375
-122.486033519553,49.9831932773109,858.403015136719
-122.469273743017,49.9831932773109,805.803039550781
-122.45251396648,49.9831932773109,499.003021240234
-122.435754189944,49.9831932773109,256.803039550781
-122.418994413408,49.9831932773109,614.453002929688
-122.402234636872,49.9831932773109,1111.75305175781
-122.385474860335,49.9831932773109,1419.9443359375
-122.368715083799,49.9831932773109,971.694396972656
-122.351955307263,49.9831932773109,597.854370117188
-122.335195530726,49.9831932773109,1150.64440917969
-122.31843575419,49.9831932773109,1655.64440917969
-122.301675977654,49.9831932773109,1823.92443847656
-122.284916201117,49.9831932773109,2103.16430664062
-122.268156424581,49.9831932773109,2152.18432617188
-122.251396648045,49.9831932773109,2075.42016601562
-122.234636871508,49.9831932773109,1983.61010742188
-122.217877094972,49.9831932773109,1998.96008300781
-122.201117318436,49.9831932773109,1975.47009277344
-122.184357541899,49.9831932773109,1662.39001464844
-122.167597765363,49.9831932773109,1585.2900390625
-122.150837988827,49.9831932773109,1532.78002929688
-122.134078212291,49.9831932773109,1195.82006835938
-122.117318435754,49.9831932773109,937.649780273438
-122.100558659218,49.9831932773109,1339.60974121094
-122.083798882682,49.9831932773109,1777.0498046875
-122.067039106145,49.9831932773109,1802.02978515625
-122.050279329609,49.9831932773109,1762.51977539062
-122.033519553073,49.9831932773109,1566.509765625
-122.016759776536,49.9831932773109,1388.13977050781
-122,49.9831932773109,985.399780273438
-125,49.9663865546218,-89.8150024414062
-124.983240223464,49.9663865546218,-155.434997558594
-124.966480446927,49.9663865546218,-132.184997558594
-124.949720670391,49.9663865546218,-104.875
-124.932960893855,49.9663865546218,-28.4375
-124.916201117318,49.9663865546218,13.8424997329712
-124.899441340782,49.9663865546218,-28.9375
-124.882681564246,49.9663865546218,-43.5574989318848
-124.865921787709,49.9663865546218,-110.127502441406
-124.849162011173,49.9663865546218,-149.057495117188
-124.832402234637,49.9663865546218,-135.807495117188
-124.815642458101,49.9663865546218,-111.807502746582
-124.798882681564,49.9663865546218,-130.3125
-124.782122905028,49.9663865546218,-111.502502441406
-124.765363128492,49.9663865546218,-78.942497253418
-124.748603351955,49.9663865546218,-33.4124984741211
-124.731843575419,49.9663865546218,83.3675003051758
-124.715083798883,49.9663865546218,187.587493896484
-124.698324022346,49.9663865546218,189.027496337891
-124.68156424581,49.9663865546218,86.7375030517578
-124.664804469274,49.9663865546218,149.787506103516
-124.648044692737,49.9663865546218,407.047485351562
-124.631284916201,49.9663865546218,478.017486572266
